#{"t_start": 1764232152.7326164, "env_id": "None"}
r,l,t
-200.0,1,226.293002
-200.0,1,226.296521
-322.84583,645,226.701076
-200.0,1,226.706085
-680.6033,1711,227.72718
-200.0,1,227.731764
-307.019,368,227.96152
-200.0,1,227.96607
-251.42776,296,228.154985
-200.0,1,228.158995
-375.51743,657,228.573937
-200.0,1,228.578181
-379.8084,489,228.877017
-200.0,1,228.880782
-322.45612,629,229.284748
-200.0,1,229.288637
-252.14908,327,229.526212
-200.0,1,229.531619
-307.27557,643,229.943211
-200.0,1,229.947343
-261.965,336,230.16123
-200.0,1,230.165032
-272.17352,378,230.404318
-200.0,1,230.409709
-636.3511,1345,231.261804
-312.36813,446,231.565782
-200.0,1,231.572031
41.923965,935,232.118479
-265.6223,311,232.319905
-200.0,1,232.325656
-755.5049,1568,233.325327
-200.0,1,233.329749
-265.88272,415,233.588754
-200.0,1,233.593937
-288.89905,507,233.888551
-200.0,1,233.892812
-244.15068,344,234.112912
-200.0,1,234.116582
-704.62854,1351,234.967671
-200.0,1,234.971456
-200.0,1,234.975633
-365.41577,806,235.470937
-200.0,1,235.474773
-200.0,1,235.478294
-434.10052,813,235.999058
-200.0,1,236.002748
-339.49506,663,236.427766
-351.12955,538,236.79271
-200.0,1,236.796795
-426.53613,719,237.255097
-200.0,1,237.259859
-395.01154,664,237.681033
-200.0,1,237.687273
-254.63077,344,237.895142
-200.0,1,237.901082
115.11998,391,238.157433
-617.6302,1191,238.914347
-200.0,1,238.919997
-233.68164,308,239.12212
-200.0,1,239.126701
166.35266,319,239.313367
-262.598,364,239.538664
-200.0,1,239.543283
-200.0,1,239.546661
-449.46936,734,240.005618
-200.0,1,240.010412
-200.0,1,240.014287
-298.0959,364,240.246912
-200.0,1,240.250842
-322.65887,427,240.508802
-200.0,1,240.512734
18.546783,727,240.951317
-306.12854,406,241.187101
-200.0,1,241.190611
-200.0,1,241.194104
-258.55994,386,241.445572
-244.0041,300,241.645473
-200.0,1,241.649606
-328.63843,687,242.072807
-200.0,1,242.077305
-259.97876,321,242.282454
-200.0,1,242.286564
-742.5419,1597,243.310543
-200.0,1,243.3147
-338.1361,764,243.788086
-200.0,1,243.792094
-282.93924,394,244.045253
-200.0,1,244.049761
-255.76883,331,244.276565
-200.0,1,244.280993
-524.13696,1100,244.964904
-200.0,1,244.968621
-443.69684,676,245.450978
-200.0,1,245.454822
173.16179,275,245.632807
53.392258,794,246.142193
-382.95935,752,246.605862
-200.0,1,246.609954
-592.1217,1416,247.489419
-200.0,1,247.493651
-67.87915,1118,248.160308
-388.583,606,248.538208
-200.0,1,248.542269
74.027504,741,248.995741
-240.28436,301,249.178202
-200.0,1,249.181798
-200.0,1,249.185454
-852.4123,1733,250.275483
-200.0,1,250.281175
-959.78937,1988,251.502844
-200.0,1,251.50713
-252.07442,305,251.713609
-200.0,1,251.718337
-284.23608,360,251.947632
-200.0,1,251.951669
-430.7166,1071,252.661125
-200.0,1,252.666436
-854.6572,1762,253.789581
-200.0,1,253.79418
-241.08757,292,253.991528
-200.0,1,253.996466
-565.09216,1479,254.935676
-200.0,1,254.940613
-349.87582,728,255.378953
-200.0,1,255.383563
-250.23111,293,255.580102
-1035.2616,2325,257.037316
-200.0,1,257.042158
-251.52988,439,257.299634
-200.0,1,257.303705
-200.0,1,257.307837
-340.9922,498,257.644018
-400.16794,880,258.186866
-200.0,1,258.191354
-263.27298,336,258.421447
-200.0,1,258.425375
-200.0,1,258.428738
-523.80457,1183,259.165143
-200.0,1,259.168639
-295.01926,373,259.409335
-200.0,1,259.41327
-416.01123,990,260.012688
-200.0,1,260.017375
-200.0,1,260.02122
147.15675,395,260.264182
-314.37234,620,260.640717
-200.0,1,260.644977
-240.22926,258,260.830122
-200.0,1,260.837266
-316.8189,661,261.255255
-200.0,1,261.258893
-409.93256,637,261.667226
-200.0,1,261.672881
-269.28885,296,261.871482
-453.97595,884,262.420094
-200.0,1,262.424169
-304.70767,431,262.727002
-200.0,1,262.732489
-416.29565,736,263.184502
-200.0,1,263.189139
-233.34314,294,263.379418
-200.0,1,263.383756
-1278.8486,3055,265.28272
-200.0,1,265.287261
-311.00702,719,265.724929
-200.0,1,265.728958
-200.0,1,265.732904
-331.26044,455,266.012885
-200.0,1,266.016961
-384.55548,709,266.479898
-200.0,1,266.485067
-936.69806,1937,267.670059
-200.0,1,267.673803
-330.66107,667,268.076768
-200.0,1,268.08039
-200.0,1,268.083944
-252.35005,325,268.283345
-200.0,1,268.28679
-200.0,1,268.290029
-748.1814,1501,269.167504
-200.0,1,269.172015
92.42789,568,269.508067
-715.0532,1448,270.390089
-200.0,1,270.394197
-200.0,1,270.398187
-404.6907,754,270.858787
-200.0,1,270.863389
141.32573,395,271.089443
-474.03305,1232,271.843894
-200.0,1,271.847964
-491.48077,864,272.3829
-200.0,1,272.38748
-486.28445,1126,273.082984
-200.0,1,273.087162
-256.22946,367,273.321926
-200.0,1,273.326063
-305.1162,387,273.576172
-200.0,1,273.580859
-328.09644,622,273.967449
-200.0,1,273.971711
-368.445,791,274.454212
-200.0,1,274.459385
-338.95093,635,274.864928
-200.0,1,274.870767
-434.00406,812,275.372039
-200.0,1,275.375569
-499.57742,1188,276.098326
-200.0,1,276.103056
-200.0,1,276.106857
-1039.1096,2554,277.727678
-200.0,1,277.733951
-337.91638,766,278.185393
-200.0,1,278.190448
-302.21802,635,278.595678
-200.0,1,278.59978
-275.88797,359,278.816965
-200.0,1,278.820502
-537.0687,961,279.429647
-200.0,1,279.433855
-527.4181,1149,280.170269
-200.0,1,280.174609
194.94849,271,280.341375
118.69406,690,280.792553
-526.3301,856,281.323962
-200.0,1,281.328187
-616.1254,1278,282.127606
-200.0,1,282.131773
140.1068,482,282.448013
90.5978,684,282.872235
-280.12204,293,283.07584
-200.0,1,283.079832
-278.71228,377,283.330686
-200.0,1,283.335373
-253.1958,309,283.520995
-200.0,1,283.524831
-200.0,1,283.528491
128.83493,560,283.899368
-467.5986,1063,284.609728
-200.0,1,284.613748
-258.6243,321,284.840707
-200.0,1,284.844384
-233.21222,325,285.070884
-200.0,1,285.075478
-829.22534,1757,286.13397
-200.0,1,286.138205
-200.0,1,286.141648
-927.6484,2080,287.473403
-200.0,1,287.479312
-519.5143,1009,288.115351
-200.0,1,288.119329
-200.0,1,288.122675
-245.52199,314,288.320693
-200.0,1,288.324771
-734.11633,1330,289.181847
-200.0,1,289.187207
-759.0063,1751,290.306754
-200.0,1,290.312583
-235.35892,255,290.505981
-200.0,1,290.511667
-310.7992,387,290.74421
-200.0,1,290.750055
-480.7686,1184,291.49703
-200.0,1,291.500528
-328.58148,763,291.950024
-200.0,1,291.953209
-200.0,1,291.956518
-200.0,1,291.960019
-315.7121,692,292.376859
-200.0,1,292.382631
-285.09302,336,292.583906
-200.0,1,292.587557
-380.021,730,293.014972
-200.0,1,293.020827
-278.4897,322,293.215604
-200.0,1,293.220277
-460.7196,811,293.706799
-254.00983,331,293.922884
-200.0,1,293.927688
174.93243,336,294.130827
-305.35254,350,294.342779
-200.0,1,294.346184
-200.0,1,294.349209
-257.7829,338,294.562218
-200.0,1,294.566278
-277.06946,388,294.808119
-200.0,1,294.811646
-200.0,1,294.815277
139.35419,433,295.112344
-175.9071,1295,295.874173
-491.21548,821,296.422152
-200.0,1,296.426374
-242.55832,308,296.638669
-200.0,1,296.643031
-730.9261,1470,297.605679
-200.0,1,297.609926
-491.375,1151,298.321032
-200.0,1,298.324659
-262.75684,329,298.527692
-200.0,1,298.531295
-326.3712,661,298.934091
-200.0,1,298.938156
-638.1022,1516,299.884079
-200.0,1,299.88809
115.221176,429,300.172229
-352.18726,726,300.597028
-200.0,1,300.601073
-369.9036,666,301.018043
-200.0,1,301.021954
-266.3208,328,301.242419
-200.0,1,301.247272
-422.25558,799,301.743933
-200.0,1,301.748074
-200.0,1,301.751511
-448.24884,977,302.366141
-200.0,1,302.372724
-713.9446,1472,303.28477
-200.0,1,303.288704
-299.75635,342,303.493541
-200.0,1,303.497481
-278.56653,319,303.691878
-200.0,1,303.696125
-451.17993,735,304.138662
-200.0,1,304.142199
-200.0,1,304.144981
-200.0,1,304.147825
-242.23138,338,304.340475
-200.0,1,304.344044
-273.37677,300,304.5288
-200.0,1,304.532408
-292.10333,343,304.754191
-200.0,1,304.758253
-391.59558,603,305.146872
-200.0,1,305.150968
-247.29861,309,305.354522
-271.2629,360,305.600255
-200.0,1,305.604198
-419.56458,809,306.149679
-200.0,1,306.154003
-811.5844,1794,307.284649
-200.0,1,307.288738
-200.0,1,307.293321
41.30664,677,307.698196
