#{"t_start": 1764232152.7326164, "env_id": "None"}
r,l,t
-200.0,1,47.060302
-484.74084,859,47.573495
-200.0,1,47.577787
-374.6087,598,47.915945
-200.0,1,47.922518
-559.31744,1092,48.569744
-200.0,1,48.573504
-472.9741,731,49.034804
-200.0,1,49.038625
-200.0,1,49.042398
-273.56927,354,49.288985
-200.0,1,49.293767
-301.10226,375,49.530646
-200.0,1,49.536225
-285.3755,442,49.783731
-200.0,1,49.788144
-200.0,1,49.791692
-305.9224,419,50.069788
-200.0,1,50.073823
-370.85248,565,50.374749
-200.0,1,50.379173
-530.52484,1099,50.963053
-200.0,1,50.968725
-329.8852,438,51.270949
-200.0,1,51.275602
-299.08005,360,51.484466
-200.0,1,51.490742
-677.69574,1265,52.272151
-200.0,1,52.276595
-495.83017,875,52.798639
-200.0,1,52.803387
-520.7762,843,53.312279
-200.0,1,53.316575
-550.06445,979,53.948286
-200.0,1,53.953233
-692.54047,1443,54.776862
-297.09024,356,55.00374
-200.0,1,55.00762
-282.59436,431,55.255316
-200.0,1,55.25957
-289.3742,363,55.482162
-200.0,1,55.485987
-416.4942,739,55.921285
-200.0,1,55.925295
-329.08344,475,56.240118
-200.0,1,56.24486
-277.03506,373,56.466474
-200.0,1,56.470477
-282.6756,409,56.722605
-200.0,1,56.727081
-438.78146,1026,57.43348
-200.0,1,57.439205
-456.21756,832,57.938457
-200.0,1,57.942786
-332.54987,392,58.179807
-200.0,1,58.183338
-268.02292,279,58.392195
-200.0,1,58.395998
156.9389,342,58.596641
-524.0326,940,59.16758
-200.0,1,59.17194
-429.56152,809,59.642928
-200.0,1,59.646801
-502.78677,879,60.184244
-200.0,1,60.189109
90.35839,528,60.532056
-396.88858,748,60.991746
-200.0,1,60.999025
-281.40344,381,61.23169
-200.0,1,61.235863
-502.33502,802,61.768392
-200.0,1,61.772682
-200.0,1,61.777225
-363.34143,542,62.163986
-200.0,1,62.16949
-315.18585,427,62.454821
-200.0,1,62.45915
-200.0,1,62.462948
-270.35364,391,62.690839
-200.0,1,62.698002
-247.36876,348,62.909274
-200.0,1,62.913498
-295.95187,347,63.15237
-200.0,1,63.156421
-200.0,1,63.160803
-269.79517,313,63.366344
-366.7862,746,63.844987
-200.0,1,63.850812
-516.74756,864,64.410722
-200.0,1,64.415076
-459.3823,750,64.874558
-271.3291,297,65.084612
-200.0,1,65.089132
-489.20724,842,65.623166
-309.1139,372,65.861005
-200.0,1,65.866596
-259.94397,334,66.104344
-200.0,1,66.108371
-886.3427,1736,67.156291
-200.0,1,67.161975
-617.80963,1248,67.906956
-200.0,1,67.911782
-632.7864,1119,68.577742
-200.0,1,68.581733
-254.12271,332,68.775185
-200.0,1,68.779588
-646.2703,1286,69.555298
-200.0,1,69.559094
-302.3067,343,69.769882
-200.0,1,69.774045
-305.69467,411,70.030165
-200.0,1,70.034384
-253.23854,341,70.248326
-200.0,1,70.252333
-326.99557,395,70.497658
-200.0,1,70.502242
-566.2271,1027,71.152145
-200.0,1,71.157962
-309.502,409,71.401536
-200.0,1,71.405227
-317.63077,391,71.644525
-200.0,1,71.648737
-200.0,1,71.652001
-344.49417,642,72.058566
-200.0,1,72.062582
-200.0,1,72.065756
-308.59637,414,72.30545
-200.0,1,72.309706
-533.6487,951,72.901152
-200.0,1,72.905138
-285.48224,296,73.096479
-200.0,1,73.100811
-354.39215,710,73.530806
-200.0,1,73.534719
-466.63043,771,73.975756
-200.0,1,73.980003
-463.05038,811,74.468412
-200.0,1,74.47217
-200.0,1,74.476024
-533.3456,830,74.998864
-200.0,1,75.003569
-348.82227,651,75.403473
-200.0,1,75.407242
-946.8357,2011,76.619752
-200.0,1,76.624249
-361.0386,462,76.901956
-200.0,1,76.90809
-559.6083,1153,77.631358
-200.0,1,77.635324
-242.8809,359,77.850431
-200.0,1,77.85468
-342.50055,551,78.205175
-200.0,1,78.209307
-599.84326,1250,78.966677
-200.0,1,78.971529
-464.19263,897,79.513084
-200.0,1,79.517173
-273.5255,337,79.750957
-200.0,1,79.754938
-259.21317,339,79.95941
-200.0,1,79.963962
-305.7876,395,80.212847
-200.0,1,80.217218
-350.45746,707,80.664776
-200.0,1,80.668681
-537.46375,1030,81.302566
-200.0,1,81.308738
-360.39087,761,81.78954
-200.0,1,81.793555
-265.815,330,82.017387
-200.0,1,82.021164
47.84114,927,82.602126
-626.37775,1188,83.301102
-200.0,1,83.30544
-348.47687,667,83.690749
-200.0,1,83.694724
-464.74033,747,84.162597
-200.0,1,84.167115
-241.97618,276,84.344567
-200.0,1,84.348614
-309.44702,378,84.589272
-200.0,1,84.59547
-254.45029,335,84.815099
-200.0,1,84.820416
-382.30383,655,85.224298
-200.0,1,85.228716
-646.69305,1222,86.009308
-200.0,1,86.017374
-316.6801,584,86.393995
-200.0,1,86.39803
-313.765,371,86.661257
-200.0,1,86.665299
-305.15823,383,86.90782
-200.0,1,86.91176
-466.08676,1183,87.620963
-200.0,1,87.624889
-200.0,1,87.628272
-280.55627,486,87.918009
-200.0,1,87.921709
-306.36234,631,88.316351
-200.0,1,88.321591
-620.6305,1060,89.164249
-200.0,1,89.168021
-200.0,1,89.172006
-281.90973,325,89.391446
-200.0,1,89.395608
-302.59598,556,89.794925
-200.0,1,89.798792
-460.81622,758,90.258171
-200.0,1,90.263381
148.36008,431,90.534404
-334.77643,588,90.938405
-200.0,1,90.943655
-849.2016,1852,92.190247
-200.0,1,92.194407
-247.98311,282,92.401466
-200.0,1,92.405631
84.680435,663,92.887308
-261.13254,276,93.076986
-270.57675,276,93.296839
-200.0,1,93.300726
-236.38138,259,93.465191
-200.0,1,93.469432
-318.10944,556,93.882132
-200.0,1,93.886512
-280.03735,342,94.091831
-200.0,1,94.096146
-235.34262,255,94.309018
-200.0,1,94.313532
-200.0,1,94.317
-314.32947,390,94.561857
-200.0,1,94.565931
-200.0,1,94.569978
-373.0252,626,94.989822
-319.8242,363,95.249203
-239.79774,253,95.434941
-232.74344,248,95.613307
-200.0,1,95.617203
-539.5215,1175,96.396715
-200.0,1,96.400775
-268.20538,294,96.586448
-200.0,1,96.592788
-447.4118,709,97.056194
-200.0,1,97.059955
-271.16205,254,97.25588
-256.72626,344,97.491717
-200.0,1,97.495708
-200.0,1,97.499741
-727.44617,1678,98.691093
-200.0,1,98.696358
-257.47232,295,98.888896
-200.0,1,98.893193
-303.0855,601,99.301226
-200.0,1,99.306633
-253.39058,293,99.506581
-200.0,1,99.510766
-300.31174,328,99.756859
-200.0,1,99.762612
-270.79248,351,99.999244
-200.0,1,100.003714
-272.1572,282,100.218698
-200.0,1,100.222416
-680.5792,1219,101.039314
-200.0,1,101.043631
-436.214,785,101.573151
-200.0,1,101.5773
-256.9328,271,101.801086
-200.0,1,101.805738
-388.1037,617,102.268646
-200.0,1,102.27276
-597.2969,1083,102.994051
-200.0,1,102.998187
-285.02432,303,103.208848
-283.17487,311,103.412099
-316.66483,385,103.683347
-200.0,1,103.688845
49.99028,847,104.221477
187.96207,248,104.381064
-616.4447,1327,105.354429
-200.0,1,105.359784
-272.26923,288,105.552553
-200.0,1,105.556682
-261.2279,255,105.746487
-200.0,1,105.751316
-457.8865,795,106.313102
-200.0,1,106.318035
-990.6309,2243,107.936023
-200.0,1,107.940028
-200.0,1,107.943564
-250.4021,373,108.197274
-200.0,1,108.203484
